monthly_pay_period_number,mqy-end_flag,pay_date,pay_date_sequence,pay_group_code,pay_group,pay_period_id,period_closed,period_end_date,period_start_date,period_type_code,period_type
1,None,2012-09-14 00:00:00,1,SALARY,Salaried Biweekly,870,Y,2012-09-08 00:00:00,2012-08-26 00:00:00,R,Reg
1,None,2012-09-14 00:00:00,1,HOURLY,Hourly BiWeekly,844,Y,2012-09-08 00:00:00,2012-08-26 00:00:00,R,Reg
1,None,2012-09-14 00:00:00,1,DOCTOR,Doctor BiWeekly,896,Y,2012-09-08 00:00:00,2012-08-26 00:00:00,R,Reg
1,None,2012-08-17 00:00:00,1,DOCTM,Doctor Monthly,915,Y,2012-08-31 00:00:00,2012-08-01 00:00:00,R,Reg
1,None,2012-08-03 00:00:00,1,SALARY,Salaried Biweekly,867,Y,2012-07-28 00:00:00,2012-07-15 00:00:00,R,Reg
1,None,2012-08-03 00:00:00,1,HOURLY,Hourly BiWeekly,841,Y,2012-07-28 00:00:00,2012-07-15 00:00:00,R,Reg
1,None,2012-08-03 00:00:00,1,DOCTOR,Doctor BiWeekly,893,Y,2012-07-28 00:00:00,2012-07-15 00:00:00,R,Reg
1,None,2012-07-20 00:00:00,2,DOCTM,Doctor Monthly,914,Y,2012-07-31 00:00:00,2012-07-01 00:00:00,R,Reg
1,None,2012-07-06 00:00:00,1,SALARY,Salaried Biweekly,865,Y,2012-06-30 00:00:00,2012-06-17 00:00:00,R,Reg
1,None,2012-07-06 00:00:00,1,HOURLY,Hourly BiWeekly,839,Y,2012-06-30 00:00:00,2012-06-17 00:00:00,R,Reg
1,None,2012-07-06 00:00:00,1,DOCTOR,Doctor BiWeekly,891,Y,2012-06-30 00:00:00,2012-06-17 00:00:00,R,Reg
1,None,2012-06-22 00:00:00,1,DOCTM,Doctor Monthly,913,Y,2012-06-30 00:00:00,2012-06-01 00:00:00,R,Reg
1,None,2012-06-08 00:00:00,1,SALARY,Salaried Biweekly,863,Y,2012-06-02 00:00:00,2012-05-20 00:00:00,R,Reg
1,None,2012-06-08 00:00:00,1,HOURLY,Hourly BiWeekly,837,Y,2012-06-02 00:00:00,2012-05-20 00:00:00,R,Reg
1,None,2012-06-08 00:00:00,1,DOCTOR,Doctor BiWeekly,889,Y,2012-06-02 00:00:00,2012-05-20 00:00:00,R,Reg
1,None,2012-05-25 00:00:00,1,DOCTM,Doctor Monthly,912,Y,2012-05-31 00:00:00,2012-05-01 00:00:00,R,Reg
1,None,2012-05-11 00:00:00,1,SALARY,Salaried Biweekly,861,Y,2012-05-05 00:00:00,2012-04-22 00:00:00,R,Reg
1,None,2012-05-11 00:00:00,1,HOURLY,Hourly BiWeekly,835,Y,2012-05-05 00:00:00,2012-04-22 00:00:00,R,Reg
1,None,2012-05-11 00:00:00,1,DOCTOR,Doctor BiWeekly,887,Y,2012-05-05 00:00:00,2012-04-22 00:00:00,R,Reg
1,None,2012-04-27 00:00:00,1,DOCTM,Doctor Monthly,911,Y,2012-04-30 00:00:00,2012-04-01 00:00:00,R,Reg
1,None,2012-04-13 00:00:00,1,SALARY,Salaried Biweekly,859,Y,2012-04-07 00:00:00,2012-03-25 00:00:00,R,Reg
1,None,2012-04-13 00:00:00,1,HOURLY,Hourly BiWeekly,833,Y,2012-04-07 00:00:00,2012-03-25 00:00:00,R,Reg
1,None,2012-04-13 00:00:00,1,DOCTOR,Doctor BiWeekly,885,Y,2012-04-07 00:00:00,2012-03-25 00:00:00,R,Reg
1,None,2012-03-02 00:00:00,1,SALARY,Salaried Biweekly,856,Y,2012-02-25 00:00:00,2012-02-12 00:00:00,R,Reg
1,None,2012-03-02 00:00:00,1,HOURLY,Hourly BiWeekly,830,Y,2012-02-25 00:00:00,2012-02-12 00:00:00,R,Reg
1,None,2012-03-02 00:00:00,1,DOCTOR,Doctor BiWeekly,882,Y,2012-02-25 00:00:00,2012-02-12 00:00:00,R,Reg
1,None,2012-02-17 00:00:00,1,DOCTM,Doctor Monthly,909,Y,2012-02-29 00:00:00,2012-02-01 00:00:00,R,Reg
1,None,2012-02-03 00:00:00,1,SALARY,Salaried Biweekly,854,Y,2012-01-28 00:00:00,2012-01-15 00:00:00,R,Reg
1,None,2012-02-03 00:00:00,1,HOURLY,Hourly BiWeekly,828,Y,2012-01-28 00:00:00,2012-01-15 00:00:00,R,Reg
1,None,2012-02-03 00:00:00,1,DOCTOR,Doctor BiWeekly,880,Y,2012-01-28 00:00:00,2012-01-15 00:00:00,R,Reg
1,None,2012-01-20 00:00:00,1,DOCTM,Doctor Monthly,908,Y,2012-01-31 00:00:00,2012-01-01 00:00:00,R,Reg
1,None,2012-01-06 00:00:00,1,SALARY,Salaried Biweekly,852,Y,2011-12-31 00:00:00,2011-12-18 00:00:00,R,Reg
1,None,2012-01-06 00:00:00,1,HOURLY,Hourly BiWeekly,826,Y,2011-12-31 00:00:00,2011-12-18 00:00:00,R,Reg
1,None,2012-01-06 00:00:00,1,DOCTOR,Doctor BiWeekly,878,Y,2011-12-31 00:00:00,2011-12-18 00:00:00,R,Reg
1,None,2011-12-23 00:00:00,1,DOCTM,Doctor Monthly,804,Y,2011-12-31 00:00:00,2011-12-01 00:00:00,R,Reg
1,None,2011-12-09 00:00:00,1,SALARY,Salaried Biweekly,738,Y,2011-12-03 00:00:00,2011-11-20 00:00:00,R,Reg
1,None,2011-12-09 00:00:00,1,HOURLY,Hourly BiWeekly,764,Y,2011-12-03 00:00:00,2011-11-20 00:00:00,R,Reg
1,None,2011-12-09 00:00:00,1,DOCTOR,Doctor BiWeekly,790,Y,2011-12-03 00:00:00,2011-11-20 00:00:00,R,Reg
1,None,2011-11-25 00:00:00,1,DOCTM,Doctor Monthly,803,Y,2011-11-30 00:00:00,2011-11-01 00:00:00,R,Reg
1,None,2011-11-10 00:00:00,1,SALARY,Salaried Biweekly,736,Y,2011-11-05 00:00:00,2011-10-23 00:00:00,R,Reg
1,None,2011-11-10 00:00:00,1,HOURLY,Hourly BiWeekly,762,Y,2011-11-05 00:00:00,2011-10-23 00:00:00,R,Reg
1,None,2011-11-10 00:00:00,1,DOCTOR,Doctor BiWeekly,788,Y,2011-11-05 00:00:00,2011-10-23 00:00:00,R,Reg
1,None,2011-10-28 00:00:00,1,DOCTM,Doctor Monthly,802,Y,2011-10-31 00:00:00,2011-10-01 00:00:00,R,Reg
1,None,2011-10-14 00:00:00,1,SALARY,Salaried Biweekly,734,Y,2011-10-08 00:00:00,2011-09-25 00:00:00,R,Reg
1,None,2011-10-14 00:00:00,1,HOURLY,Hourly BiWeekly,760,Y,2011-10-08 00:00:00,2011-09-25 00:00:00,R,Reg
1,None,2011-10-14 00:00:00,1,DOCTOR,Doctor BiWeekly,786,Y,2011-10-08 00:00:00,2011-09-25 00:00:00,R,Reg
1,None,2011-09-02 00:00:00,1,SALARY,Salaried Biweekly,731,Y,2011-08-27 00:00:00,2011-08-14 00:00:00,R,Reg
1,None,2011-09-02 00:00:00,1,HOURLY,Hourly BiWeekly,757,Y,2011-08-27 00:00:00,2011-08-14 00:00:00,R,Reg
1,None,2011-09-02 00:00:00,1,DOCTOR,Doctor BiWeekly,783,Y,2011-08-27 00:00:00,2011-08-14 00:00:00,R,Reg
1,None,2011-08-19 00:00:00,1,DOCTM,Doctor Monthly,800,Y,2011-08-31 00:00:00,2011-08-01 00:00:00,R,Reg
1,None,2011-08-05 00:00:00,1,SALARY,Salaried Biweekly,729,Y,2011-07-30 00:00:00,2011-07-17 00:00:00,R,Reg
1,None,2011-08-05 00:00:00,1,HOURLY,Hourly BiWeekly,755,Y,2011-07-30 00:00:00,2011-07-17 00:00:00,R,Reg
1,None,2011-08-05 00:00:00,1,DOCTOR,Doctor BiWeekly,781,Y,2011-07-30 00:00:00,2011-07-17 00:00:00,R,Reg
1,None,2011-07-22 00:00:00,1,DOCTM,Doctor Monthly,799,Y,2011-07-31 00:00:00,2011-07-01 00:00:00,R,Reg
1,None,2011-07-08 00:00:00,1,SALARY,Salaried Biweekly,727,Y,2011-07-02 00:00:00,2011-06-19 00:00:00,R,Reg
1,None,2011-07-08 00:00:00,1,HOURLY,Hourly BiWeekly,753,Y,2011-07-02 00:00:00,2011-06-19 00:00:00,R,Reg
1,None,2011-07-08 00:00:00,1,DOCTOR,Doctor BiWeekly,779,Y,2011-07-02 00:00:00,2011-06-19 00:00:00,R,Reg
1,None,2011-06-10 00:00:00,1,SALARY,Salaried Biweekly,725,Y,2011-06-04 00:00:00,2011-05-22 00:00:00,R,Reg
1,None,2011-06-10 00:00:00,1,HOURLY,Hourly BiWeekly,751,Y,2011-06-04 00:00:00,2011-05-22 00:00:00,R,Reg
1,None,2011-06-10 00:00:00,1,DOCTOR,Doctor BiWeekly,777,Y,2011-06-04 00:00:00,2011-05-22 00:00:00,R,Reg
1,None,2011-05-27 00:00:00,1,DOCTM,Doctor Monthly,797,Y,2011-05-31 00:00:00,2011-05-01 00:00:00,R,Reg
1,None,2011-05-13 00:00:00,1,SALARY,Salaried Biweekly,723,Y,2011-05-07 00:00:00,2011-04-24 00:00:00,R,Reg
1,None,2011-05-13 00:00:00,1,HOURLY,Hourly BiWeekly,749,Y,2011-05-07 00:00:00,2011-04-24 00:00:00,R,Reg
1,None,2011-05-13 00:00:00,1,DOCTOR,Doctor BiWeekly,775,Y,2011-05-07 00:00:00,2011-04-24 00:00:00,R,Reg
1,None,2011-04-15 00:00:00,1,DOCTM,Doctor Monthly,796,Y,2011-04-30 00:00:00,2011-04-01 00:00:00,R,Reg
1,None,2011-04-01 00:00:00,1,SALARY,Salaried Biweekly,720,Y,2011-03-26 00:00:00,2011-03-13 00:00:00,R,Reg
1,None,2011-04-01 00:00:00,1,HOURLY,Hourly BiWeekly,746,Y,2011-03-26 00:00:00,2011-03-13 00:00:00,R,Reg
1,None,2011-04-01 00:00:00,1,DOCTOR,Doctor BiWeekly,772,Y,2011-03-26 00:00:00,2011-03-13 00:00:00,R,Reg
1,None,2011-03-18 00:00:00,1,DOCTM,Doctor Monthly,795,Y,2011-03-31 00:00:00,2011-03-01 00:00:00,R,Reg
1,None,2011-03-04 00:00:00,1,SALARY,Salaried Biweekly,718,Y,2011-02-26 00:00:00,2011-02-13 00:00:00,R,Reg
1,None,2011-03-04 00:00:00,1,HOURLY,Hourly BiWeekly,744,Y,2011-02-26 00:00:00,2011-02-13 00:00:00,R,Reg
1,None,2011-03-04 00:00:00,1,DOCTOR,Doctor BiWeekly,770,Y,2011-02-26 00:00:00,2011-02-13 00:00:00,R,Reg
1,None,2011-02-18 00:00:00,1,DOCTM,Doctor Monthly,794,Y,2011-02-28 00:00:00,2011-02-01 00:00:00,R,Reg
1,None,2011-02-04 00:00:00,1,SALARY,Salaried Biweekly,716,Y,2011-01-29 00:00:00,2011-01-16 00:00:00,R,Reg
1,None,2011-02-04 00:00:00,1,HOURLY,Hourly BiWeekly,742,Y,2011-01-29 00:00:00,2011-01-16 00:00:00,R,Reg
1,None,2011-02-04 00:00:00,1,DOCTOR,Doctor BiWeekly,768,Y,2011-01-29 00:00:00,2011-01-16 00:00:00,R,Reg
1,None,2011-01-21 00:00:00,1,DOCTM,Doctor Monthly,793,Y,2011-01-31 00:00:00,2011-01-01 00:00:00,R,Reg
1,None,2011-01-07 00:00:00,1,SALARY,Salaried Biweekly,714,Y,2011-01-01 00:00:00,2010-12-19 00:00:00,R,Reg
1,None,2011-01-07 00:00:00,1,HOURLY,Hourly BiWeekly,740,Y,2011-01-01 00:00:00,2010-12-19 00:00:00,R,Reg
1,None,2011-01-07 00:00:00,1,DOCTOR,Doctor BiWeekly,766,Y,2011-01-01 00:00:00,2010-12-19 00:00:00,R,Reg
1,None,2010-12-24 00:00:00,1,DOCTM,Doctor Monthly,585,Y,2010-12-31 00:00:00,2010-12-01 00:00:00,R,Reg
1,None,2010-12-10 00:00:00,1,SALARY,Salaried Biweekly,635,Y,2010-12-04 00:00:00,2010-11-21 00:00:00,R,Reg
1,None,2010-12-10 00:00:00,1,HOURLY,Hourly BiWeekly,661,Y,2010-12-04 00:00:00,2010-11-21 00:00:00,R,Reg
1,None,2010-12-10 00:00:00,1,DOCTOR,Doctor BiWeekly,693,Y,2010-12-04 00:00:00,2010-11-21 00:00:00,R,Reg
1,None,2010-11-26 00:00:00,1,DOCTM,Doctor Monthly,584,Y,2010-11-30 00:00:00,2010-11-01 00:00:00,R,Reg
1,None,2010-11-12 00:00:00,1,SALARY,Salaried Biweekly,633,Y,2010-11-06 00:00:00,2010-10-24 00:00:00,R,Reg
1,None,2010-11-12 00:00:00,1,HOURLY,Hourly BiWeekly,659,Y,2010-11-06 00:00:00,2010-10-24 00:00:00,R,Reg
1,None,2010-11-12 00:00:00,1,DOCTOR,Doctor BiWeekly,691,Y,2010-11-06 00:00:00,2010-10-24 00:00:00,R,Reg
1,None,2010-10-15 00:00:00,1,DOCTM,Doctor Monthly,583,Y,2010-10-31 00:00:00,2010-10-01 00:00:00,R,Reg
1,None,2010-10-01 00:00:00,1,SALARY,Salaried Biweekly,630,Y,2010-09-25 00:00:00,2010-09-12 00:00:00,R,Reg
1,None,2010-10-01 00:00:00,1,HOURLY,Hourly BiWeekly,656,Y,2010-09-25 00:00:00,2010-09-12 00:00:00,R,Reg
1,None,2010-10-01 00:00:00,1,DOCTOR,Doctor BiWeekly,688,Y,2010-09-25 00:00:00,2010-09-12 00:00:00,R,Reg
1,None,2010-09-17 00:00:00,1,DOCTM,Doctor Monthly,582,Y,2010-09-30 00:00:00,2010-09-01 00:00:00,R,Reg
1,None,2010-09-03 00:00:00,1,SALARY,Salaried Biweekly,628,Y,2010-08-28 00:00:00,2010-08-15 00:00:00,R,Reg
1,None,2010-09-03 00:00:00,1,HOURLY,Hourly BiWeekly,654,Y,2010-08-28 00:00:00,2010-08-15 00:00:00,R,Reg
1,None,2010-09-03 00:00:00,1,DOCTOR,Doctor BiWeekly,686,Y,2010-08-28 00:00:00,2010-08-15 00:00:00,R,Reg
1,None,2010-08-20 00:00:00,1,DOCTM,Doctor Monthly,581,Y,2010-08-31 00:00:00,2010-08-01 00:00:00,R,Reg
1,None,2010-08-06 00:00:00,1,SALARY,Salaried Biweekly,626,Y,2010-07-31 00:00:00,2010-07-18 00:00:00,R,Reg
1,None,2010-08-06 00:00:00,1,HOURLY,Hourly BiWeekly,652,Y,2010-07-31 00:00:00,2010-07-18 00:00:00,R,Reg
1,None,2010-08-06 00:00:00,1,DOCTOR,Doctor BiWeekly,684,Y,2010-07-31 00:00:00,2010-07-18 00:00:00,R,Reg
1,None,2010-07-23 00:00:00,1,DOCTM,Doctor Monthly,580,Y,2010-07-31 00:00:00,2010-07-01 00:00:00,R,Reg
1,None,2010-07-09 00:00:00,1,SALARY,Salaried Biweekly,624,Y,2010-07-03 00:00:00,2010-06-20 00:00:00,R,Reg
1,None,2010-07-09 00:00:00,1,HOURLY,Hourly BiWeekly,650,Y,2010-07-03 00:00:00,2010-06-20 00:00:00,R,Reg
1,None,2010-07-09 00:00:00,1,DOCTOR,Doctor BiWeekly,682,Y,2010-07-03 00:00:00,2010-06-20 00:00:00,R,Reg
1,None,2010-06-25 00:00:00,1,DOCTM,Doctor Monthly,579,Y,2010-06-30 00:00:00,2010-06-01 00:00:00,R,Reg
1,None,2010-06-11 00:00:00,1,SALARY,Salaried Biweekly,622,Y,2010-06-05 00:00:00,2010-05-23 00:00:00,R,Reg
1,None,2010-06-11 00:00:00,1,HOURLY,Hourly BiWeekly,648,Y,2010-06-05 00:00:00,2010-05-23 00:00:00,R,Reg
1,None,2010-06-11 00:00:00,1,DOCTOR,Doctor BiWeekly,680,Y,2010-06-05 00:00:00,2010-05-23 00:00:00,R,Reg
1,None,2010-05-28 00:00:00,1,DOCTM,Doctor Monthly,578,Y,2010-05-31 00:00:00,2010-05-01 00:00:00,R,Reg
1,None,2010-05-14 00:00:00,1,SALARY,Salaried Biweekly,620,Y,2010-05-08 00:00:00,2010-04-25 00:00:00,R,Reg
1,None,2010-05-14 00:00:00,1,HOURLY,Hourly BiWeekly,646,Y,2010-05-08 00:00:00,2010-04-25 00:00:00,R,Reg
1,None,2010-05-14 00:00:00,1,DOCTOR,Doctor BiWeekly,678,Y,2010-05-08 00:00:00,2010-04-25 00:00:00,R,Reg
1,None,2010-04-16 00:00:00,1,DOCTM,Doctor Monthly,577,Y,2010-04-30 00:00:00,2010-04-01 00:00:00,R,Reg
1,None,2010-04-02 00:00:00,1,SALARY,Salaried Biweekly,617,Y,2010-03-27 00:00:00,2010-03-14 00:00:00,R,Reg
1,None,2010-04-02 00:00:00,1,HOURLY,Hourly BiWeekly,643,Y,2010-03-27 00:00:00,2010-03-14 00:00:00,R,Reg
1,None,2010-04-02 00:00:00,1,DOCTOR,Doctor BiWeekly,675,Y,2010-03-27 00:00:00,2010-03-14 00:00:00,R,Reg
1,None,2010-03-19 00:00:00,1,DOCTM,Doctor Monthly,576,Y,2010-03-31 00:00:00,2010-03-01 00:00:00,R,Reg
1,None,2010-03-05 00:00:00,1,SALARY,Salaried Biweekly,615,Y,2010-02-27 00:00:00,2010-02-14 00:00:00,R,Reg
1,None,2010-03-05 00:00:00,1,HOURLY,Hourly BiWeekly,641,Y,2010-02-27 00:00:00,2010-02-14 00:00:00,R,Reg
1,None,2010-03-05 00:00:00,1,DOCTOR,Doctor BiWeekly,673,Y,2010-02-27 00:00:00,2010-02-14 00:00:00,R,Reg
1,None,2010-02-19 00:00:00,1,DOCTM,Doctor Monthly,575,Y,2010-02-28 00:00:00,2010-02-01 00:00:00,R,Reg
1,None,2010-02-05 00:00:00,1,SALARY,Salaried Biweekly,613,Y,2010-01-30 00:00:00,2010-01-17 00:00:00,R,Reg
1,None,2010-02-05 00:00:00,1,HOURLY,Hourly BiWeekly,639,Y,2010-01-30 00:00:00,2010-01-17 00:00:00,R,Reg
1,None,2010-02-05 00:00:00,1,DOCTOR,Doctor BiWeekly,671,Y,2010-01-30 00:00:00,2010-01-17 00:00:00,R,Reg
1,None,2010-01-22 00:00:00,1,DOCTM,Doctor Monthly,574,Y,2010-01-31 00:00:00,2010-01-01 00:00:00,R,Reg
1,None,2010-01-08 00:00:00,1,SALARY,Salaried Biweekly,611,Y,2010-01-02 00:00:00,2009-12-20 00:00:00,R,Reg
1,None,2010-01-08 00:00:00,1,HOURLY,Hourly BiWeekly,637,Y,2010-01-02 00:00:00,2009-12-20 00:00:00,R,Reg
1,None,2010-01-08 00:00:00,1,DOCTOR,Doctor BiWeekly,669,Y,2010-01-02 00:00:00,2009-12-20 00:00:00,R,Reg
1,None,2009-12-24 00:00:00,1,DOCTM,Doctor Monthly,535,Y,2009-12-31 00:00:00,2009-12-01 00:00:00,R,Reg
1,None,2009-12-11 00:00:00,1,SALARY,Salaried Biweekly,522,Y,2009-12-05 00:00:00,2009-11-22 00:00:00,R,Reg
1,None,2009-12-11 00:00:00,1,HOURLY,Hourly BiWeekly,496,Y,2009-12-05 00:00:00,2009-11-22 00:00:00,R,Reg
1,None,2009-12-11 00:00:00,1,DOCTOR,Doctor BiWeekly,470,Y,2009-12-05 00:00:00,2009-11-22 00:00:00,R,Reg
1,None,2009-11-27 00:00:00,1,DOCTM,Doctor Monthly,534,Y,2009-11-30 00:00:00,2009-11-01 00:00:00,R,Reg
1,None,2009-11-13 00:00:00,1,SALARY,Salaried Biweekly,520,Y,2009-11-07 00:00:00,2009-10-25 00:00:00,R,Reg
1,None,2009-11-13 00:00:00,1,HOURLY,Hourly BiWeekly,494,Y,2009-11-07 00:00:00,2009-10-25 00:00:00,R,Reg
1,None,2009-11-13 00:00:00,1,DOCTOR,Doctor BiWeekly,468,Y,2009-11-07 00:00:00,2009-10-25 00:00:00,R,Reg
1,None,2009-10-16 00:00:00,1,DOCTM,Doctor Monthly,533,Y,2009-10-31 00:00:00,2009-10-01 00:00:00,R,Reg
1,None,2009-10-02 00:00:00,1,SALARY,Salaried Biweekly,517,Y,2009-09-26 00:00:00,2009-09-13 00:00:00,R,Reg
1,None,2009-10-02 00:00:00,1,HOURLY,Hourly BiWeekly,491,Y,2009-09-26 00:00:00,2009-09-13 00:00:00,R,Reg
1,None,2009-10-02 00:00:00,1,DOCTOR,Doctor BiWeekly,465,Y,2009-09-26 00:00:00,2009-09-13 00:00:00,R,Reg
1,None,2009-09-18 00:00:00,1,DOCTM,Doctor Monthly,532,Y,2009-09-30 00:00:00,2009-09-01 00:00:00,R,Reg
1,None,2009-09-04 00:00:00,1,SALARY,Salaried Biweekly,515,Y,2009-08-29 00:00:00,2009-08-16 00:00:00,R,Reg
1,None,2009-09-04 00:00:00,1,HOURLY,Hourly BiWeekly,489,Y,2009-08-29 00:00:00,2009-08-16 00:00:00,R,Reg
